departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad
GUAJIRA,LA JAGUA DEL PILAR,44420000,NO REPORTADO,28/04/2024,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,ANDES,5034007,NO REPORTADO,18/02/2020,FEMENINO,ADULTOS,HURTO ABIGEATO,1
GUAJIRA,SAN JUAN DEL CESAR,44650000,NO REPORTADO,02/05/2020,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,FUSAGASUGA,25290000,NO REPORTADO,05/04/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
MAGDALENA,ARACATACA,47053000,NO REPORTADO,07/08/2017,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CESAR,AGUSTIN CODAZZI,20013000,NO REPORTADO,19/08/2017,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,BARRANCA DE UPIA,50110000,NO REPORTADO,27/08/2017,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ATLANTICO,MANATI,8436000,NO REPORTADO,29/11/2016,FEMENINO,ADULTOS,HURTO ABIGEATO,1
ATLANTICO,MANATI,8436000,NO REPORTADO,18/11/2016,MASCULINO,ADULTOS,HURTO ABIGEATO,1
GUAVIARE,SAN JOSE DEL GUAVIARE (CT),95001000,NO REPORTADO,03/03/2017,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,MONTERREY,85162000,NO REPORTADO,19/05/2017,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,SAN ALBERTO,20710000,NO REPORTADO,17/12/2016,MASCULINO,ADULTOS,HURTO ABIGEATO,1
MAGDALENA,FUNDACION,47288000,NO REPORTADO,26/04/2017,MASCULINO,ADULTOS,HURTO ABIGEATO,1
MAGDALENA,ARACATACA,47053000,NO REPORTADO,26/04/2017,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SAN MARCOS,70708000,NO REPORTADO,23/04/2016,MASCULINO,ADULTOS,HURTO ABIGEATO,1
